Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.043286573146292584,2.7762070349033592e-09,3.9740824817087694e-07,3.0982784448703287e-06,4.974984582520432e-06,3.601147790601497e-06,1.8944240613684692e-06
0.043687374749499,2.8114347447096067e-09,3.8135833720231554e-07,2.954477755308233e-06,4.795531100820109e-06,3.5388094050954365e-06,1.9062919139745288e-06
0.04408817635270541,2.840623638152734e-09,3.5797883978204615e-07,2.7439624511782824e-06,4.5329295490968715e-06,3.4484733024740297e-06,1.9165403935796815e-06
0.04448897795591182,2.8659085278516535e-09,3.2956009520369715e-07,2.486423552335931e-06,4.21183814010416e-06,3.33940899718763e-06,1.925821617753262e-06
0.044889779559118236,2.8894242264252775e-09,2.9839244276089555e-07,2.2015520786366188e-06,3.856915086595399e-06,3.220886003686585e-06,1.934787704064606e-06
0.04529058116232465,2.9133055464925184e-09,2.6676622174726957e-07,1.9090390499357994e-06,3.492818601324025e-06,3.102173836421246e-06,1.9440907700830494e-06
0.045691382765531065,2.9396873006722887e-09,2.3697177145644708e-07,1.6285754860889213e-06,3.1442068970434725e-06,2.992542009841966e-06,1.9543829333779263e-06
0.04609218436873747,2.9707043015834994e-09,2.1129943118205644e-07,1.379852406951438e-06,2.8357381865071792e-06,2.9012600383990963e-06,1.966316311518573e-06
0.04649298597194389,3.008491361845064e-09,1.9203954021772452e-07,1.1825608323787907e-06,2.5920706824685688e-06,2.8375974365429847e-06,1.980543022074325e-06
0.0468937875751503,3.0551832940758954e-09,1.8148243785707982e-07,1.0563917822264312e-06,2.437862597681081e-06,2.8108237187239854e-06,1.997715182614517e-06
0.047294589178356716,3.118136590144255e-09,1.773318992241253e-07,9.833507180320614e-07,2.351932237057968e-06,2.8124513322120494e-06,2.0228318341715924e-06
0.047695390781563124,3.2047499547118897e-09,1.7355368689811752e-07,9.145568513573005e-07,2.2743485674916565e-06,2.8186184889985453e-06,2.061132137343024e-06
0.04809619238476954,3.312735336190593e-09,1.7010493953108515e-07,8.502400586112436e-07,2.204115171556003e-06,2.8280455106322466e-06,2.1099306744028353e-06
0.04849699398797595,3.4397117254607438e-09,1.670113624586141e-07,7.911929841490778e-07,2.1409159990533925e-06,2.8397149870652986e-06,2.1664653673830484e-06
0.04889779559118237,3.5832981134027194e-09,1.6429866101629003e-07,7.382082723259901e-07,2.0844349997862117e-06,2.852609508249848e-06,2.2279741383156838e-06
0.049298597194388775,3.741113490896897e-09,1.6199254053969878e-07,6.920785674971671e-07,2.034356123556846e-06,2.8657116641380404e-06,2.291694909232763e-06
0.04969939879759519,3.91077684882366e-09,1.6011870636442605e-07,6.535965140177937e-07,1.9903633201676795e-06,2.8780040446820234e-06,2.35486560216631e-06
0.050100200400801605,4.089907178063385e-09,1.5870286382605763e-07,6.235547562430571e-07,1.952140539421098e-06,2.8884692398339428e-06,2.414724139148345e-06
0.05050100200400802,4.276123469496452e-09,1.5777071826017927e-07,6.027459385281435e-07,1.9193717311194865e-06,2.8960898395459443e-06,2.46850844221089e-06
